what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258818155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258819369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258826199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258827826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258834113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258836399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258838772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258841017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258842514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258861867
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320258873420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258886289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258901550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1320258902755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320258903772
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258903972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258908592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320258909561
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320258909619
error,log,,,"Unhandled event loop exception",1320258909682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320258911618
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320258916387
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320258916745
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1320258920986
