what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1320249493951
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1320249493952
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1320249493953
os,sysinfo,,,"macosx",1320249493956
arch,sysinfo,,,"x86_64",1320249493956
ws,sysinfo,,,"cocoa",1320249493956
locale,sysinfo,,,"en_US",1320249493956
processors,sysinfo,,,"2",1320249493956
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320249493956
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1320249493956
java.specification.name,sysinfo,,,"Java Platform API Specification",1320249493956
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320249493956
java.specification.version,sysinfo,,,"1.6",1320249493956
java.vendor,sysinfo,,,"Apple Inc.",1320249493956
java.version,sysinfo,,,"1.6.0_26",1320249493956
java.vm.info,sysinfo,,,"mixed mode",1320249493956
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1320249493956
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320249493956
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320249493956
java.vm.specification.version,sysinfo,,,"1.0",1320249493956
java.vm.vendor,sysinfo,,,"Apple Inc.",1320249493956
java.vm.version,sysinfo,,,"20.1-b02-383",1320249493956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249496347
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249496357
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320249499610
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1320249503378
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1320249504503
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1320249504504
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1320249505160
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249505202
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320249506084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249523288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249537730
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320249538677
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1320249548081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249561530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249561703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249562108
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1320249564893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249568464
error,log,,,"Unhandled event loop exception",1320249568616
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249568987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249569079
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1320249571444
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249571800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249578189
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1320249590394
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1320249590447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249597019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1320249608813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320249609270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249609486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249612900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320249613097
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249613211
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320249613302
error,log,,,"Unhandled event loop exception",1320249613647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249618434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249643172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249644309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249651849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249655573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320249658338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320249659544
