what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184933260
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1320184947835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184948551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184951445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184955377
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184973141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184980536
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184984306
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320184984845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320184991906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184994298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320184997100
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320185015282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185023802
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320185026789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185031142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185033968
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320185037013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185046870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185048926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185050814
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320185059216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185093723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185097320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185409943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185438036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320185455953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320185456519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185457072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185468067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185490243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185501540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320185520845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185527294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185527524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185528260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320185534791
error,log,,,"Unhandled event loop exception",1320185535053
